E:\coinbase>python main.py
2025-12-30 18:43:27.243717+00:00 Connection Opened!
2025-12-30 20:38:10.946922+00:00 BUY:MON-USDC:13291@0.02183 => SELL:MON-USDC:13291@0.02205
2025-12-30 20:39:27.459523+00:00 BUY:MON-USDC:13291@0.02182 => SELL:MON-USDC:13291@0.02204
2025-12-30 20:39:27.675374+00:00 BUY:MON-USDC:13291@0.02182 => SELL:MON-USDC:13291@0.02204
2025-12-30 20:39:27.967458+00:00 BUY:MON-USDC:13291@0.0218 => SELL:MON-USDC:13291@0.02202
2025-12-30 20:39:28.133227+00:00 BUY:MON-USDC:13291@0.0218 => SELL:MON-USDC:13291@0.02202
2025-12-30 20:44:55.985505+00:00 SELL:MON-USDC:13291@0.02191 => BUY:MON-USDC:13291@0.02184
2025-12-30 20:47:39.152353+00:00 SELL:MON-USDC:13291@0.02192 => BUY:MON-USDC:13291@0.02185
2025-12-30 20:49:55.937245+00:00 SELL:MON-USDC:13291@0.02193 => BUY:MON-USDC:13291@0.02186
2025-12-30 20:50:11.171754+00:00 SELL:MON-USDC:13291@0.02194 => BUY:MON-USDC:13291@0.02187
2025-12-30 20:50:16.202876+00:00 SELL:MON-USDC:13291@0.02195 => BUY:MON-USDC:13291@0.02188
2025-12-30 20:50:31.703958+00:00 SELL:MON-USDC:13291@0.02196 => BUY:MON-USDC:13291@0.02189
2025-12-30 20:50:31.861720+00:00 SELL:MON-USDC:13291@0.02197 => BUY:MON-USDC:13291@0.02190
2025-12-30 20:51:41.187458+00:00 SELL:MON-USDC:13291@0.02198 => BUY:MON-USDC:13291@0.02191
2025-12-30 20:51:48.436820+00:00 SELL:MON-USDC:13291@0.02199 => BUY:MON-USDC:13291@0.02192
2025-12-30 20:52:07.679181+00:00 SELL:MON-USDC:13291@0.022 => BUY:MON-USDC:13291@0.02193
2025-12-30 20:53:12.228076+00:00 SELL:MON-USDC:13291@0.02201 => BUY:MON-USDC:13291@0.02194
2025-12-30 20:53:55.450231+00:00 BUY:MON-USDC:13291@0.02194 => SELL:MON-USDC:13291@0.02216
2025-12-30 20:54:40.947067+00:00 BUY:MON-USDC:13291@0.02193 => SELL:MON-USDC:13291@0.02215
2025-12-30 20:55:09.774499+00:00 BUY:MON-USDC:13291@0.02192 => SELL:MON-USDC:13291@0.02214
2025-12-30 20:55:23.214629+00:00 BUY:MON-USDC:13291@0.02191 => SELL:MON-USDC:13291@0.02213
2025-12-30 20:56:00.536427+00:00 BUY:MON-USDC:13291@0.0219 => SELL:MON-USDC:13291@0.02212
2025-12-30 20:56:22.689034+00:00 BUY:MON-USDC:13291@0.02189 => SELL:MON-USDC:13291@0.02211
2025-12-30 20:57:18.920062+00:00 BUY:MON-USDC:13291@0.02188 => SELL:MON-USDC:13291@0.02210
2025-12-30 20:57:47.187398+00:00 BUY:MON-USDC:13291@0.02187 => SELL:MON-USDC:13291@0.02209
2025-12-30 20:57:53.417209+00:00 BUY:MON-USDC:13291@0.02186 => SELL:MON-USDC:13291@0.02208
